id,name,position
17,"Mohammed Al Yami",gk
37,"Yassine Bounou",gk
40,"Ahmad Aburasyin",gk
25,"Mathieu Patouillet",gk
3,"Kalidou Koulibaly",def
5,"Ali Al Bulayhi",def
20,"João Cancelo",def
24,"Moteb Al Harbi",def
78,"Ali Lajami",def
87,"Hassan Al Tambakti",def
88,"Hamad Al Yami",def
19,"Theo Hernández",def
4,"Yusuf Akçiçek",def
8,"Rúben Neves",mid
15,"Mohammed Al Qahtani",mid
16,"Nasser Al Dawsari",mid
22,"Sergej Milinkovic-Savic",mid
28,"Mohamed Kanno",mid
29,"Salem Al Dawsari",mid
89,"Abdulelah Al Malki",mid
31,"Rayan Al Ghamdi",mid
9,"Marcos Leonardo",fwd
11,"Kaio César",fwd
10,"Malcom",fwd
99,"Abdullah Al Hamddan",fwd
14,"Abdulkarim Darisi",fwd
21,"Abdullah Radif",fwd
7,"Darwin Núñez",fwd
